"similarity","sourceArtifactName","sourceNodeName","sourceNodeIncomingDependencies","sourceNodeOutgoingDependencies","targetArtifactName","targetNodeName","targetNodeIncomingDependencies","targetNodeOutgoingDependencies","Source Cypher File: domains/graph-algorithms/queries/similarity/Similarity_1d_Stream_Mutated.cypher"
1,"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.EventStoreException",1,1,"axon-common-5.1.2","org.axonframework.common.infra.ComponentDescriptorException",2,1,""
1,"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.EventStoreException",1,1,"axon-test-5.1.2","org.axonframework.test.FixtureExecutionException",4,1,""
1,"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.GlobalIndexPosition",4,2,"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.AggregateSequenceNumberPosition",4,2,""
1,"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.StartPosition",1,1,"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.snapshot.api.Snapshot",6,1,""
1,"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.StreamSpliterator",1,1,"axon-update-5.1.2","org.axonframework.update.api.Artifact",3,1,""
1,"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.StreamSpliterator",1,1,"axon-update-5.1.2","org.axonframework.update.api.ArtifactAvailableUpgrade",2,1,""
1,"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.StreamSpliterator",1,1,"axon-update-5.1.2","org.axonframework.update.api.DetectedVulnerabilitySeverity",3,1,""
1,"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.jpa.AggregateBasedJpaEventStorageEngine$AggregateSource",1,3,"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.event.AggregateBasedAxonServerEventStorageEngine$AggregateSource",1,3,""
1,"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.snapshot.api.Snapshot",6,1,"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.StartPosition",1,1,""
1,"axon-tracing-opentelemetry-5.1.2","org.axonframework.extension.tracing.opentelemetry.OpenTelemetrySpan",1,2,"axon-messaging-5.1.2","org.axonframework.messaging.tracing.NoOpSpanFactory$NoOpSpan",2,2,""
1,"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.CommandDispatchException",2,1,"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.api.AxonServerException",1,1,""
1,"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.CommandDispatchException",2,1,"axon-common-5.1.2","org.axonframework.common.AxonTransientException",8,1,""
1,"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.CommandDispatchException",2,1,"axon-common-5.1.2","org.axonframework.common.ProcessRetriesExhaustedException",1,1,""
1,"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.CommandExecutionException",2,1,"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.QueryExecutionException",3,1,""
1,"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.CommandHandler",22,5,"axon-modelling-5.1.2","org.axonframework.modelling.entity.EntityCommandHandler",5,5,""
1,"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.CommandMessage",67,3,"axon-messaging-5.1.2","org.axonframework.messaging.core.ResultMessage",7,3,""
1,"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.CommandMessage",67,3,"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.EventMessage",137,3,""
1,"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.CommandMessage",67,3,"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.QueryMessage",37,3,""
1,"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.CommandPriorityCalculator",2,1,"axon-modelling-5.1.2","org.axonframework.modelling.entity.ChildEntityNotFoundException",2,1,""
1,"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.CommandPriorityCalculator",2,1,"axon-modelling-5.1.2","org.axonframework.modelling.entity.EntityAlreadyExistsForCreationalCommandHandlerException",2,1,""
1,"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.CommandPriorityCalculator",2,1,"axon-modelling-5.1.2","org.axonframework.modelling.entity.EntityMissingForInstanceCommandHandlerException",2,1,""
1,"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.CommandResultMessage",30,4,"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.QueryResponseMessage",22,4,""
1,"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.annotation.CommandHandlingMember",3,2,"axon-messaging-5.1.2","org.axonframework.messaging.core.interception.annotation.MessageInterceptingMember",3,2,""
1,"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.annotation.CommandHandlingMember",3,2,"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.annotation.EventHandlingMember",2,2,""
1,"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.annotation.CommandHandlingMember",3,2,"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.annotation.QueryHandlingMember",2,2,""
1,"axon-messaging-5.1.2","org.axonframework.messaging.core.AbstractMessageStream$FetchResult$Completed",3,2,"axon-messaging-5.1.2","org.axonframework.messaging.core.AbstractMessageStream$FetchResult$Error",3,2,""
