"artifactName","packageName","typeName","sumEffectiveLinesOfMethodCode","maxEffectiveLinesOfMethodCode","methodWithMaxEffectiveLinesOfMethodCode","maxCyclomaticComplexity","methodWithMaxCyclomaticComplexity","Source Cypher File: domains/java/queries/method-metrics/Effective_lines_of_method_code_per_type.cypher"
"axon-common-5.1.2","org.axonframework.common.jdbc","ConnectionWrapperFactory",38,16,"lambda$wrap$0",12,"lambda$wrap$0",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore","AggregateBasedConsistencyMarker",38,8,"forwarded",8,"from",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.jpa","AggregateEventEntry",38,13,"<init>",2,"<init>",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token","GlobalSequenceTrackingToken",38,6,"samePositionAs",5,"samePositionAs",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.util","ProcessingInstructionUtils",37,4,"getProcessingInstructionNumber",1,"clientSupportsQueryStreaming",""
"axon-common-5.1.2","org.axonframework.common.lock","PessimisticLockFactory",37,9,"obtainLock",3,"obtainLock",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore","AggregateBasedEventStorageEngineUtils",37,10,"translateConflictException",4,"assertValidTags",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.event","TaggedEventConverter",36,8,"convertEventMessage",3,"convertPayload",""
"axon-common-5.1.2","org.axonframework.common.configuration","AbstractComponent",36,6,"<init>",2,"initLifecycle",""
"axon-messaging-5.1.2","org.axonframework.messaging.commandhandling.annotation","AnnotationRoutingStrategy",36,6,"lambda$createResolver$4",6,"getRoutingKey",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling","SimpleEventBus",36,10,"processEventsInPhase",3,"registerEventPublishingHooks",""
"axon-messaging-5.1.2","org.axonframework.messaging.tracing","MultiSpanFactory",36,5,"propagateContext",2,"propagateContext",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.event","SourcingEventMessageStream",35,8,"next",3,"next",""
"axon-test-5.1.2","org.axonframework.test.matchers","ListMatcher",35,18,"describeTo",7,"describeTo",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.configuration","EventSourcingConfigurer",35,4,"<init>",1,"lifecycleRegistry",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.interception.annotation","MessageHandlerInterceptorDefinition$ResultHandlingInterceptorMember",35,9,"<init>",4,"handleSync",""
"axon-common-5.1.2","org.axonframework.common.configuration","DefaultAxonApplication",34,8,"<init>",3,"registerLifecycleHandler",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore","ContinuousMessageStream",34,11,"fetchNext",6,"fetchNext",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.jpa","AggregateBasedJpaEventStorageEngineConfiguration",34,10,"<init>",1,"gapCleaningThreshold",""
"axon-metrics-micrometer-5.1.2","org.axonframework.extension.metrics.micrometer","CapacityMonitor",34,9,"<init>",1,"calculateCapacity",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","WorkPackage$Builder",34,5,"<init>",1,"schedulingProcessingContextProvider",""
"axon-modelling-5.1.2","org.axonframework.modelling.entity.child","AbstractEntityChildMetamodel",33,9,"evolve",4,"canHandle",""
"axon-common-5.1.2","org.axonframework.common","CollectionUtils",33,13,"asCollection",7,"asCollection",""
"axon-common-5.1.2","org.axonframework.common.caching","EhCacheAdapter",33,6,"computeIfPresent",3,"computeIfPresent",""
"axon-test-5.1.2","org.axonframework.test.util","RecordingCommandBus",33,6,"asCommandResultMessage",3,"isSubscribed",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.eventstore.jpa","JpaPollingEventCoordinator",33,15,"lambda$startCoordination$0",7,"lambda$startCoordination$0",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","ClaimTask",33,20,"task",5,"task",""
"axon-messaging-5.1.2","org.axonframework.messaging.core.timeout","UnitOfWorkTimeoutInterceptorBuilder",33,8,"<init>",2,"initializeTimeoutIfNotInitialized",""
"axon-modelling-5.1.2","org.axonframework.modelling.entity","ConcreteEntityMetamodel$Builder",32,8,"creationalCommandHandler",3,"addChild",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.event","ConditionConverter",32,6,"convertEventCriterion",1,"convertEventCriterion",""
"axon-update-5.1.2","org.axonframework.update","UpdateCheckerHttpClient",32,25,"sendRequest",7,"sendRequest",""
"axon-update-5.1.2","org.axonframework.update.api","UpdateCheckRequest",32,8,"toQueryString",2,"toQueryString",""
"axon-common-5.1.2","org.axonframework.common.configuration","DecoratedComponent",32,10,"lambda$doResolve$0",4,"lambda$doResolve$0",""
"axon-test-5.1.2","org.axonframework.test.fixture","AxonTestFixture",32,12,"<init>",2,"with",""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling.annotation","MethodQueryHandlerDefinition$MethodQueryHandlingMember",32,9,"<init>",3,"canHandle",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","MessageDecorator",32,13,"describeTo",1,"describeTo",""
